Question,Equation,Answer,Numbers
"Carrie 's mom gave her $ number0 to go shopping . She bought a sweater for $ number1 , a T - shirt for $ number2 , and a pair of shoes for $ number3 . How much money does Carrie have left ?",- number0 + + number1 number2 number3,50.0,91.0 24.0 6.0 11.0
Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries . How many pounds of fruit did Scarlett use in all ?,+ number0 number1,0.625,0.25 0.375
"Sam found number0 seashells on the beach , he gave Joan number1 of the seashells . How many seashells does he now have ?",- number0 number1,17,35.0 18.0
"Keith found number0 seashells , Jessica found number1 seashells , and Tim found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked . How many seashells did they find together ?",+ + number0 number1 number2,21,6.0 8.0 7.0 3.0
"Heather went to the county fair last weekend . When she got there , she had to walk number0 of a mile from the car to the entrance . Then she walked number1 of a mile to the carnival rides and number2 of a mile from the carnival rides back to the car . How many miles did Heather walk in all ?",+ + number0 number1 number2,0.75,0.3333333333333333 0.3333333333333333 0.08333333333333333
"Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,6.0,9.0 40.0 14.0
It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour . How far is it between Amanda 's house and Kimberly 's house ?,* number0 number1,6.0,3.0 2.0
"A tennis racket that regularly sells for number0 dollars is on sale for number1 % off the regular price . What is the sale price , in dollars ?",- number0 * * number0 number1 0.01,101.25,135.0 25.0
"Wendy picked number0 flowers for her friend ’s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",/ - number0 number2 number1,2.0,45.0 5.0 35.0
"Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",- + number0 number2 number1,32.0,10.0 4.0 26.0
William has number0 bottle caps . He buys number1 more . How many bottle caps does William have in all ?,+ number0 number1,43.0,2.0 41.0
Frank and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Frank bought number1 decks and his friend bought number2 decks ?,* number0 + number1 number2,35.0,7.0 3.0 2.0
Mrs. Sheridan has number0 cats . Mr. Sheridan gave her number1 more cats . How many cats does Mrs. Sheridan have altogether ?,+ number0 number1,31.0,17.0 14.0
"Ned was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?",- + number0 number1 number2,3.0,50.0 27.0 74.0
There are number0 pots . Each pot has number1 flowers in it . How many flowers are there in all ?,* number0 number1,17408.0,544.0 32.0
Dina made cookies . She used number0 of a cup of flour and number1 of a cup of sugar . How much more flour than sugar did Dina use ?,- number0 number1,0.375,0.625 0.25
Robin has number0 packages of gum . There are number1 pieces in each package . How many pieces of gum does Robin have ?,* number0 number1,135.0,9.0 15.0
"Michelle began her pizza delivery route with number0 of a tank of gas in her car . When she made it back to the pizzeria , number1 of a tank of gas was left . How much gas did Michelle use ?",- number0 number1,0.3333333333333333,0.5 0.16666666666666666
Jenny ran number0 of a mile and walked number1 of a mile . How much farther did Jenny run than walk ?,- number0 number1,0.2,0.6 0.4
Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,* number0 number1,120.0,30.0 4.0
There are number0 pencils in the drawer . Nancy placed number1 pencils in the drawer . How many pencils are now there in total ?,+ number0 number1,72,27.0 45.0
A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount how many would each person get ?,/ + number1 number2 number0,6.0,3.0 8.0 10.0
Sara had number0 quarters and number1 dimes in her bank . Her sister borrowed number2 dimes . How many dimes does Sara have now ?,- number1 number0,4,4.0 8.0 4.0
There are number0 eggs in a box . Harry takes number1 eggs . How many are left ?,- number0 number1,42.0,47.0 5.0
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",+ number0 number1,971639.0,712261.0 259378.0
"I have number0 pencils . If I put number1 pencils in each pencil box , how many pencil boxes will I fill ?",/ number0 number1,162.0,648.0 4.0
Katherine has number0 bottle caps . number1 are eaten by a hippopotamus . How many bottle caps will Katherine have ?,- number0 number1,26.0,34.0 8.0
Paul had number0 strawberries in his basket . He picked number1 more strawberries . How many strawberries did he have then ?,+ number0 number1,63.0,28.0 35.0
"Dave had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,5.0,29.0 11.0 35.0
"Dan spent $ number0 on a snake toy , and a cage cost him $ number1 . Dan also found a dollar bill on the ground . What was the total cost of Dan 's purchases ?",+ number0 number1,26.3,11.76 14.54
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",* number0 - number1 number2,28.0,7.0 13.0 9.0
"There were number0 parents in the program and number1 pupils , too . How many people were present in the program ?",+ number0 number1,803.0,105.0 698.0
"Tim found number0 seashells and Sally found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",+ number0 number1,50,37.0 13.0 25.0
"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",/ + number0 number1 number2,9.0,17.0 55.0 8.0
There are number0 blocks . number1 blocks more are added . How many are there total ?,+ number0 number1,95.0,86.0 9.0
"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",* number2 - number0 number1,6.0,9.0 7.0 3.0
"Hoping to be named Salesperson of the Month , Rosa called the names from number0 pages of the phone book last week . This week , she called the people listed on another number1 pages of the same phone book . How many pages worth of people did Rosa call in all ?",+ number0 number1,18.8,10.2 8.6
"Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",* number2 - number0 number1,56.0,16.0 8.0 7.0
"Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",+ number0 number1,0.5,0.25 0.25
Roadster 's Paving Company used number0 tons of cement to pave Lexi 's street and number1 tons of cement to pave Tess 's street . How much cement did Roadster 's Paving Company use in all ?,+ number0 number1,15.1,10.0 5.1
"The mini library also has a section for the classics . If Jack has a collection of number0 classic authors , with each author having number1 books , how many books does he have in the classics section ?",* number0 number1,198.0,6.0 33.0
"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",* number2 - number0 number1,48.0,13.0 5.0 6.0
Jane starts with number0 crayons . number1 are eaten by a hippopotamus . How many crayons does Jane end with ?,- number0 number1,80.0,87.0 7.0
"Edward had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Edward have ?",- + number0 number2 number1,38.0,43.0 19.0 14.0
Seth bought number0 cartons of ice cream and number1 cartons of yogurt . Each carton of ice cream cost $ number2 and each carton of yogurt cost $ number3 . How much more did Seth spend on ice cream than on yogurt ?,- * number0 number2 * number1 number3,118.0,20.0 2.0 6.0 1.0
My car gets number0 miles per gallon . How many miles can I drive on number1 gallons of gas ?,* number0 number1,100.0,20.0 5.0
Mary had number0 potatoes in the garden . The rabbits ate number1 of the potatoes . How many potatoes does Mary now have ?,- number0 number1,5,8.0 3.0
"Jessica spent $ number0 on a cat toy , and a cage cost her $ number1 . What was the total cost of Jessica 's purchases ?",+ number0 number1,21.95,10.22 11.73
"Luke was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",/ + number1 number2 number0,9.0,4.0 20.0 16.0
How many cookies would you have if you had number0 bags of cookies with number1 cookies in each bag ?,* number0 number1,703.0,37.0 19.0
"Molly owns the Wafting Pie Company . This morning , her employees used number0 eggs to bake pumpkin pies . If her employees used a total of number1 eggs today , how many eggs did they use in the afternoon ?",- number1 number0,523.0,816.0 1339.0
"A neighborhood grocer sells a mix of chocolate and carob candy . The chocolate cost number0 dollars a pound and the carob costs number1 dollars a pound . If number2 pounds of the chocolate and number3 pounds of the carob candy are used , what is the cost per pound of the mixture in dollars ?",/ + * number0 number2 * number1 number3 + number2 number3,2.6,2.7 2.55 20.0 40.0
There are number0 cards . number1 cards more are added . How many are there total ?,+ number0 number1,13.0,9.0 4.0
"Sandy worked number0 hours in the last number1 days . Assuming that she worked the same amount of hours each day , how long did she work each day ?",/ number0 number1,9.0,45.0 5.0
"Before starting her shift , a waitress checks to make sure there is enough mustard for her customers . She finds number0 bottle at the first table , number1 bottle at the second table , and number2 bottle at the third table . Altogether , how many bottles of mustard does the waitress find ?",+ + number0 number1 number2,0.875,0.25 0.25 0.375
"While on vacation , Rachel took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",- + number0 number1 number2,4.0,6.0 9.0 11.0
If Stephanie ran for number0 hours at number1 miles per hour . How far did Stephanie go ?,* number0 number1,15.0,3.0 5.0
There are number0 oak trees currently in the park . Park workers will plant number1 more oak trees today . How many oak trees will the park have when the workers are finished ?,+ number0 number1,9.0,5.0 4.0
"Carefully following a recipe , Kenny used exactly number0 of a cup of oil and number1 cups of water . How many cups of liquid did Kenny use in all ?",+ number0 number1,1.3333333333333333,0.16666666666666666 1.1666666666666667
"While playing at the arcade , Edward won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece , how many could he buy ?",/ + number0 number1 number2,2.0,3.0 5.0 4.0
"Alyssa loves eating fruits . Alyssa paid $ number0 for grapes , and $ number1 for cherries . In total , how much money did Alyssa spend ?",+ number0 number1,21.93,12.08 9.85
Nancy has saved number0 dozen quarters from washing cars . How much money does Nancy have ?,* 12 0.25,3.0,1.0
"Sandy has number0 books , Benny has number1 books , and Tim has number2 books . How many books do they have together ?",+ + number0 number1 number2,67,10.0 24.0 33.0
Emily collected eggs from the hen and put them into number0 baskets . She put number1 eggs into each basket . How many eggs did Emily collect ?,* number0 number1,8484.0,303.0 28.0
Jason has number0 books and he has read number1 of them . Mary has number2 books . How many books do they have together ?,+ number0 number2,60,18.0 9.0 42.0
Pamela starts with number0 bottle caps . Jean takes number1 away . How many bottle caps does Pamela end with ?,- number0 number1,4.0,30.0 26.0
A carpenter bought a piece of wood that was number0 meters long . Then she sawed number1 meters off the end . How long is the piece of wood now ?,- number0 number1,0.08,0.41 0.33
"A ship full of grain crashes into a coral reef . By the time the ship is fixed , number0 tons of grain have spilled into the water . Only number1 tons of grain remain onboard . How many tons of grain did the ship originally contain ?",+ number0 number1,50870.0,49952.0 918.0
There are number0 butterflies . Each butterfly has number1 black dots and number2 yellow dots . How many black dots are there in all ?,* number0 number1,4764.0,397.0 12.0 17.0
"Joan bought toy cars for $ number0 , a skateboard for $ number1 , and got toy trucks for $ number2 . She spent $ number3 on pants . In total , how much did Joan spend on toys ?",+ + number0 number1 number2,25.62,14.88 4.88 5.86 14.55
Henry had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,- + number0 number1 number2,19.0,11.0 18.0 10.0
"A physician 's assistant measures a child and finds that his h8 is number0 inches . At his last visit to the doctor 's office , the child was number1 inches tall . How much did the child grow , in inches ?",- number0 number1,3.0,41.5 38.5
"Will bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Will still have ?",* number2 - number0 number1,16.0,7.0 3.0 4.0
In Yardley it snowed number0 of an inch in the morning and number1 of an inch in the afternoon . What was the total amount of snowfall ?,+ number0 number1,0.625,0.125 0.5
Mrs. Hilt has number0 cents . A pencil costs number1 cents . How many pencils can she buy with the money she has ?,/ number0 number1,10.0,50.0 5.0
"Dave had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",- + number0 number1 number2,16.0,9.0 27.0 20.0
Oliver had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,- + number0 number1 number2,1.0,35.0 50.0 84.0
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,63.0,34.0 7.0 36.0
"Frank made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",/ + number0 number1 number2,9.0,5.0 58.0 7.0
Sam has number0 blue and number1 green balloons . Alyssa has number2 blue balloons . How many blue balloons do they have in all ?,+ number0 number2,37,16.0 25.0 21.0
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,49.0,38.0 4.0 15.0
"For Halloween Megan received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?",/ + number0 number1 number2,2.0,11.0 5.0 8.0
There were number0 bales of hay in the barn . Tim stacked bales in the barn today . There are now number1 bales of hay in the barn . How many bales did he store in the barn ?,- number1 number0,26,28.0 54.0
"Sally paid $ number0 total for peaches , after a number1 dollar coupon , and $ number2 for cherries . In total , how much money did Sally spend ?",+ number0 number2,23.86,12.32 3.0 11.54
"There are number0 bottle caps in Beverly 's bottle cap collection . If the bottle caps are organized into number1 groups , how big is each group ?",/ number0 number1,5.0,35.0 7.0
"Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",- + number0 number2 number1,10.0,11.0 9.0 8.0
Elizabeth went to the salon and had number0 inch of hair cut off . The next day she went back and asked for another number1 inch to be cut off . How much hair did she have cut off in all ?,+ number0 number1,0.875,0.375 0.5
"Jason joined his school 's band . He bought a flute for $ number0 , a music tool for $ number1 , and a song book for $ number2 . How much did Jason spend at the music store ?",+ + number0 number1 number2,158.35,142.46 8.89 7.0
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",/ - number0 number1 number2,2.0,24.0 10.0 7.0
"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,4.0,42.0 10.0 8.0
Nancy grew number0 potatoes . Sandy grew number1 potatoes . How many potatoes did they grow in total ?,+ number0 number1,13,6.0 7.0
A new virus is released on the internet . The administrator of a department 's LAN is given number0 minutes by a manager to estimate the impact . The administrator samples number1 of the PCs connected to the LAN and finds that number2 are infected . Use a proportion to estimate the number of infected PCs if there are a total of number3 PCs connected to the LAN .,* number3 / number2 number1,126.0,5.0 12.0 7.0 216.0
Wendy ran number0 miles and walked number1 miles . How much farther did Wendy run than walk ?,- number0 number1,10.666666666666666,19.833333333333332 9.166666666666666
Darnel sprinted number0 of a lap and then took a break by jogging number1 of a lap . How much farther did Darnel sprint than jog ?,- number0 number1,0.125,0.875 0.75
There were number0 geese and number1 ducks in the marsh . How many birds were in the marsh ?,+ number0 number1,95.0,58.0 37.0
"Haley and her mom were picking carrots from their garden . Haley picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,13.0,39.0 38.0 64.0
"At the arcade , Jerry won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he spent number2 of his tickets on a hat , how many tickets does Jerry have left ?",- + number0 number1 number2,34.0,29.0 17.0 12.0
Andrew starts with number0 eggs . He buys number1 more . How many eggs does Andrew end with ?,+ number0 number1,70.0,8.0 62.0
"Mike bought some toys . He bought marbles for $ number0 , a football for $ number1 , and spent $ number2 on a baseball . In total , how much did Mike spend on toys ?",+ + number0 number1 number2,20.52,9.05 4.95 6.52
Mr. Guzman bought number0 doughnuts packed equally into number1 boxes . How many doughnuts were in each box ?,/ number0 number1,12.0,48.0 4.0
Keith picked number0 pears and Jason picked number1 pears from the pear tree . Joan picked number2 apples from the apple tree . How many pears were picked in total ?,+ number0 number1,5,3.0 2.0 5.0
"Faye had number0 math problems and number1 science problems for homework . If she finished number2 of the problems at school , how many problems did she have to do for homework ?",- + number0 number1 number2,15.0,46.0 9.0 40.0
"At the arcade Victor won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number2 number1,58.0,46.0 27.0 39.0
"Virginia has number0 eggs and number1 Skittles . If she shares the eggs among number2 friends , how many eggs does each friend get ?",/ number0 number2,4.0,16.0 8.0 4.0
number0 birds were sitting in a tree . number1 more birds flew up to the tree . How many birds were there altogether in the tree ?,+ number0 number1,35.0,14.0 21.0
"A farmer started the day with number0 buckets of seeds . After spending the morning sowing seeds , she now has number1 buckets left . How many buckets of seeds did the farmer sow ?",- number0 number1,2.75,8.75 6.0
"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",- + number0 number2 number1,25.0,30.0 10.0 5.0
"Mike has number0 orange marbles , he gave Sam number1 of the marbles . How many orange marbles does he now have ?",- number0 number1,4,8.0 4.0
"Sarah had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",* number0 + number0 number1,40.0,4.0 6.0 4.0
"It rained number0 inches on Monday . On Tuesday , it rained number1 inches less than on Monday . How much did it rain on Tuesday ?",- number0 number1,0.2,0.9 0.7
"At the town carnival Billy rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets , how many tickets did he use ?",* number2 + number0 number1,50.0,7.0 3.0 5.0
There are number0 crayons in the drawer . Mary took number1 crayons out of the drawer . How many crayons are there now ?,- number0 number1,4.0,7.0 3.0
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,- + number0 number1 number1,12.0,12.0 20.0 20.0
A DVD book holds number0 DVDs . There are number1 DVDs already in the book . How many more DVDs can be put in the book ?,- number0 number1,45.0,126.0 81.0
"Christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . If they left exactly number1 nails in every station they visited , how many stations did Joline and the junior ranger visit ?",/ number0 number1,20.0,140.0 7.0
Misha has number0 dollars . How many dollars does she have to earn to have number1 dollars to buy a dog ?,- number1 number0,13.0,34.0 47.0
"Will had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",/ - number0 number1 number2,5.0,57.0 27.0 6.0
"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",- + number0 number2 number1,50.0,14.0 13.0 49.0
"Mary went to the mall . She spent $ number0 on a shirt and $ number1 on a jacket . She went to number2 shops . In total , how much money did Mary spend on clothing ?",+ number0 number1,25.31,13.04 12.27 2.0
"Rose has number0 apples and number1 erasers . If she shares the apples among number2 friends , how many apples does each friend get ?",- number1 number0,3.0,9.0 12.0 3.0
Tyler had number0 dogs . Each dog had number1 puppies . How many puppies does Tyler now have ?,* number0 number1,75.0,15.0 5.0
Connie has number0 marbles . Juan has number1 more marbles than Connie . How many marbles does Juan have ?,+ number0 number1,64.0,39.0 25.0
"Fred earns $ number0 an hour cleaning houses . If he works for number1 hours , how much money will he make ?",* number0 number1,100.0,12.5 8.0
Each cup contains number0 ounces . How many ounces are in number1 cups ?,* number0 number1,264.0,8.0 33.0
Joan decided to sell all of her old books . She gathered up number0 books to sell . She sold number1 books in a yard sale . How many books does Joan now have ?,- number0 number1,7.0,33.0 26.0
"There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups , how big is each group ?",/ number0 number1,3.0,30.0 10.0
Alyssa 's dog had puppies . She gave number0 to her friends . She now has number1 puppies . How many puppies did she have to start with ?,+ number0 number1,12,7.0 5.0
Annie starts with number0 crayons . Matthew gives Annie number1 more . How many crayons does Annie end with ?,+ number0 number1,40.0,4.0 36.0
Alec and his roommates ate number0 pints of ice cream on Friday night and number1 pint of ice cream on Saturday night . How many pints did they eat in all ?,+ number0 number1,3.5,3.25 0.25
"A farmer estimates that he will harvest number0 bushels of wheat . The weather is perfect during the growing season , so he harvests number1 bushels of wheat than expected . How many bushels of wheat does the farmer harvest ?",+ number0 number1,48781.0,48097.0 684.0
Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,+ number0 number1,11,6.0 5.0
David has number0 boxes of stuffed toy dogs . Each box has number1 dogs in it . How many dogs are there in all ?,* number0 number1,28.0,7.0 4.0
"Melanie had number0 baseball cards , and number1 were torn . Sara bought number2 of Melanie 's baseball cards . How many baseball cards does Melanie have now ?",- number0 number2,12,30.0 9.0 18.0
"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left , how much money did he earn ?",* number0 - number1 number2,4.0,2.0 5.0 3.0
"Joan found number0 seashells on the beach , she gave Mike number1 of the seashells . How many seashells does she now have ?",- number0 number1,16.0,79.0 63.0
"Wendy picked number0 flowers for her friend ’s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",/ - number0 number2 number1,7.0,103.0 8.0 47.0
There are number0 crayons in each box . How many crayons are in number1 boxes ?,* number0 number1,12.0,4.0 3.0
"number0 children were riding on the bus . At the bus stop , some more children got on the bus . Then there were number1 children altogether on the bus . How many children got on the bus at the bus stop ?",- number1 number0,7.0,18.0 25.0
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,- + number0 number1 number2,8.0,13.0 5.0 10.0
number0 owls were sitting on the fence . number1 more owls joined them . How many owls are on the fence now ?,+ number0 number1,5.0,3.0 2.0
There are number0 walnut trees and number1 orange trees currently in the park . Park workers had to cut down number2 walnut trees that were damaged . How many walnut trees will be in the park when the workers are finished ?,- number0 number2,29,42.0 12.0 13.0
Mrs. Hilt saw number0 bugs eat number1 flowers each . How many flowers total did the bugs eat ?,* number0 number1,6.0,3.0 2.0
"Mary found number0 seashells and Keith found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",+ number0 number1,7,2.0 5.0 9.0
"Nancy 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,3.0,5.0 12.0 3.0
Mary picked number0 oranges and Jason picked number1 oranges from the orange tree . How many oranges were picked in total ?,+ number0 number1,227.0,122.0 105.0
For Halloween Robin scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Robin have now ?,- + number0 number2 number1,37.0,23.0 7.0 21.0
Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,+ number0 number1,11.0,6.0 5.0
There are number0 candies in a pile on the desk . Each candy comes in a package of number1 . number2 candies are added to the pile . How many candies are there in the pile ?,+ number0 number2,10.0,6.0 15.0 4.0
"While taking inventory at her pastry shop , Kelly realizes that she had number0 box of baking powder yesterday , but the supply is now down to number1 box . How much more baking powder did Kelly have yesterday ?",- number0 number1,0.1,0.4 0.3
Lansing has number0 elementary schools . There are number1 students in each school . How many elementary students are there altogether in Lansing ?,* number0 number1,6175.0,25.0 247.0
Bryan has number0 skittles . Ben has number1 M&M ’s . Who has more ? How many more does he have ?,- number0 number1,30.0,50.0 20.0
"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . How many unbroken seashells did Mike find ?",- number0 number1,2,6.0 4.0 4.0
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",* number2 + number0 number1,56.0,5.0 2.0 8.0
"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",* number2 + number0 number1,18.0,2.0 4.0 3.0
"In a school , there are number0 girls and number1 boys . How many pupils are there in that school ?",+ number0 number1,929.0,542.0 387.0
Connie has number0 red markers and number1 blue markers . How many markers does Connie have altogether ?,+ number0 number1,3343.0,2315.0 1028.0
The town of Milburg has number0 grown - ups and number1 children . How many people live in Milburg ?,+ number0 number1,8243.0,5256.0 2987.0
Mike has number0 baseball cards . Sam bought number1 of Mike 's baseball cards . How many baseball cards does Mike have now ?,- number0 number1,74,87.0 13.0
Kelly 's chemistry textbook weighs number0 pounds and her geometry textbook weighs number1 of a pound . How much more does the chemistry textbook weigh than the geometry textbook ?,- number0 number1,6.5,7.125 0.625
Jennifer starts with number0 apples . She finds another number1 . How many apples does Jennifer end with ?,+ number0 number1,81.0,7.0 74.0
There are number0 pigs in the barn . Some more come to join them . Now there are number1 pigs . How many pigs came to join them ?,- number1 number0,22.0,64.0 86.0
Tom has number0 yellow balloons . Sara has number1 yellow balloons . How many yellow balloons do they have in total ?,+ number0 number1,17.0,9.0 8.0
There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?,- number0 number1,7.0,9.0 2.0
Mrs. Hilt read number0 books . Each book had number1 chapters in it . How many chapters did Mrs. Hilt read ?,* number0 number1,68.0,4.0 17.0
Juan ran number0 miles at number1 miles per hour . How long did Juan run ?,/ number0 number1,8.0,80.0 10.0
"Jovana filled her bucket with number0 pounds of shells . If she adds number1 more pounds of shell to fill her bucket , how many pounds does she have ?",+ number0 number1,17.0,5.0 12.0
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number2,9.0,96.0 42.0 6.0
The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2 how many groups could they make ?,/ + number0 number1 number2,8.0,26.0 46.0 9.0
Brenda has number0 apples . She gets number1 more from Willie . How many apples does Brenda have in all ?,+ number0 number1,71.0,34.0 37.0
"On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 . How much money in total did Sara spend on movies ?",+ + * number1 number0 number2 number3,36.78,10.62 2.0 1.59 13.95
There were number0 roses in the vase . Mary cut some roses from her flower garden . There are now number1 roses in the vase . How many roses did she cut ?,- number1 number0,10,6.0 16.0
"Olivia and her mom were picking carrots from their garden . Olivia picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,15.0,20.0 14.0 19.0
"A ship is filled with number0 tons of cargo . It stops in the Bahamas , where sailors load number1 tons of cargo onboard . How many tons of cargo does the ship hold now ?",+ number0 number1,14696.0,5973.0 8723.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* number2 - number0 number1,64.0,12.0 4.0 8.0
"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",- + number0 number2 number1,46.0,38.0 20.0 28.0
"On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets . How much water did Sam pour into the pool ?",+ number0 number1,9.8,1.0 8.8
Ellen went to a garage sale to buy chairs . Each chair cost number0 dollars . How much money did Ellen spend for the number1 chairs she bought ?,* number0 number1,180.0,15.0 12.0
"Isabel picked number0 flowers for her friend ’s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",/ - number0 number2 number1,7.0,66.0 8.0 10.0
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,2.0,4.0 6.0 5.0
Christopher strolled number0 miles at number1 miles per hour . How long did Christopher stroll ?,/ number0 number1,1.25,5.0 4.0
There are number0 birds on the fence . number1 more birds land on the fence . How many birds are on the fence ?,+ number0 number1,20.0,12.0 8.0
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",/ number0 number1,3.0,36.0 12.0
Martha is inviting number0 friends to a party . She has number1 cookies . How many cookies will each friend get ?,/ number1 number0,3.0,4.0 12.0
Jane buys an apple for $ number0 and pays with a $ number1 bill . How much change will she get ?,- number1 number0,4.25,0.75 5.0
